,name,handedness,height,weight,avg,HR,height_group,weight_group,avg_group
578,Jim Farr,R,73,195,0.0,0,"(72, 73]","(190, 195]","[0.0, 0.02)"
579,Tony Cloninger,R,72,210,0.192,11,"(71, 72]","(205, 210]","[0.18, 0.2)"
580,Jim Gosger,L,71,185,0.226,30,"(70, 71]","(180, 185]","[0.22, 0.24)"
581,Chuck Harrison,R,70,185,0.23800000000000002,17,"(69, 70]","(180, 185]","[0.22, 0.24)"
582,Mike Ivie,R,75,205,0.26899999999999996,81,"(74, 75]","(200, 205]","[0.26, 0.28)"
583,Frank Dimichele,R,75,205,0.0,0,"(74, 75]","(200, 205]","[0.0, 0.02)"
584,Bob Veale,B,78,212,0.114,0,"(77, 78]","(210, 215]","[0.1, 0.12)"
585,Marvell Wynne,L,71,175,0.247,40,"(70, 71]","(170, 175]","[0.24, 0.26)"
586,Dusty Baker,R,74,183,0.278,242,"(73, 74]","(180, 185]","[0.26, 0.28)"
587,Tucker Ashford,R,73,195,0.218,6,"(72, 73]","(190, 195]","[0.2, 0.22)"
588,Ned Yost,R,73,190,0.212,16,"(72, 73]","(185, 190]","[0.2, 0.22)"
589,Bob Stinson,B,71,180,0.25,33,"(70, 71]","(175, 180]","[0.24, 0.26)"
590,Mike Warren,R,73,175,0.0,0,"(72, 73]","(170, 175]","[0.0, 0.02)"
591,Gaylord Perry,R,76,205,0.131,6,"(75, 76]","(200, 205]","[0.12, 0.14)"
592,Dave Marshall,L,73,182,0.24600000000000002,16,"(72, 73]","(180, 185]","[0.24, 0.26)"
593,Mickey Hatcher,R,74,200,0.28,38,"(73, 74]","(195, 200]","[0.28, 0.3)"
594,Roger Repoz,L,75,190,0.22399999999999998,82,"(74, 75]","(185, 190]","[0.22, 0.24)"
595,Bill Fulton,R,75,195,0.0,0,"(74, 75]","(190, 195]","[0.0, 0.02)"
596,John Orsino,R,75,215,0.249,40,"(74, 75]","(210, 215]","[0.24, 0.26)"
597,Larry Anderson,R,75,190,0.0,0,"(74, 75]","(185, 190]","[0.0, 0.02)"
598,Johnny Briggs,L,73,190,0.253,139,"(72, 73]","(185, 190]","[0.24, 0.26)"
599,Craig Mitchell,R,75,180,0.0,0,"(74, 75]","(175, 180]","[0.0, 0.02)"
600,Dave Hostetler,R,76,215,0.22899999999999998,37,"(75, 76]","(210, 215]","[0.22, 0.24)"
601,Bob Jones,L,74,195,0.221,20,"(73, 74]","(190, 195]","[0.22, 0.24)"
602,Keith Hernandez,L,72,180,0.29600000000000004,162,"(71, 72]","(175, 180]","[0.28, 0.3)"
603,Alfredo Martinez,R,75,185,0.0,0,"(74, 75]","(180, 185]","[0.0, 0.02)"
604,Dean Chance,R,75,200,0.066,0,"(74, 75]","(195, 200]","[0.06, 0.08)"
605,Willie Upshaw,L,72,185,0.262,123,"(71, 72]","(180, 185]","[0.26, 0.28)"
606,Dick Green,R,70,180,0.24,80,"(69, 70]","(175, 180]","[0.24, 0.26)"
607,Dane Iorg,L,72,180,0.276,14,"(71, 72]","(175, 180]","[0.26, 0.28)"
608,Richie Hebner,L,73,195,0.276,203,"(72, 73]","(190, 195]","[0.26, 0.28)"
609,Fran Healy,R,77,220,0.25,20,"(76, 77]","(215, 220]","[0.24, 0.26)"
610,Doc Edwards,R,74,215,0.23800000000000002,15,"(73, 74]","(210, 215]","[0.22, 0.24)"
611,Sandy Alomar,B,69,140,0.245,13,"(68, 69]","(135, 140]","[0.24, 0.26)"
612,Joe Strain,R,70,169,0.25,1,"(69, 70]","(165, 170]","[0.24, 0.26)"
613,Gene Richards,L,72,175,0.29,26,"(71, 72]","(170, 175]","[0.28, 0.3)"
614,Buddy Bell,R,73,180,0.27899999999999997,201,"(72, 73]","(175, 180]","[0.26, 0.28)"
615,Al Woods,L,75,190,0.271,35,"(74, 75]","(185, 190]","[0.26, 0.28)"
616,Rudy Law,L,73,165,0.271,18,"(72, 73]","(160, 165]","[0.26, 0.28)"
617,Joel Davis,L,77,205,0.0,0,"(76, 77]","(200, 205]","[0.0, 0.02)"
618,Jody Davis,R,76,192,0.245,127,"(75, 76]","(190, 195]","[0.24, 0.26)"
619,Mike Edwards,R,70,154,0.25,2,"(69, 70]","(150, 155]","[0.24, 0.26)"
620,Bill Mooneyham,R,72,175,0.0,0,"(71, 72]","(170, 175]","[0.0, 0.02)"
621,John Hobbs,R,75,190,0.0,0,"(74, 75]","(185, 190]","[0.0, 0.02)"
622,Deron Johnson,R,74,200,0.244,245,"(73, 74]","(195, 200]","[0.24, 0.26)"
623,John Denny,R,75,185,0.17,0,"(74, 75]","(180, 185]","[0.16, 0.18)"
624,Don Wert,R,70,162,0.242,77,"(69, 70]","(160, 165]","[0.24, 0.26)"
625,Mike Fiore,L,72,175,0.22699999999999998,13,"(71, 72]","(170, 175]","[0.22, 0.24)"
626,Miguel Dilone,B,72,160,0.265,6,"(71, 72]","(155, 160]","[0.26, 0.28)"
627,Greg Luzinski,R,73,220,0.276,307,"(72, 73]","(215, 220]","[0.26, 0.28)"
628,Bobby Tolan,L,71,170,0.265,86,"(70, 71]","(165, 170]","[0.26, 0.28)"
629,Karl Best,R,76,190,0.0,0,"(75, 76]","(185, 190]","[0.0, 0.02)"
630,Steve Barr,L,76,200,0.0,0,"(75, 76]","(195, 200]","[0.0, 0.02)"
631,Ron Woods,R,70,168,0.233,26,"(69, 70]","(165, 170]","[0.22, 0.24)"
632,Tony Horton,R,75,210,0.268,76,"(74, 75]","(205, 210]","[0.26, 0.28)"
633,Randy Hundley,R,71,170,0.23600000000000002,82,"(70, 71]","(165, 170]","[0.22, 0.24)"
634,Jose Tartabull,L,71,165,0.261,2,"(70, 71]","(160, 165]","[0.26, 0.28)"
635,Ben Oglivie,L,74,160,0.273,235,"(73, 74]","(155, 160]","[0.26, 0.28)"
636,Luis Sanchez,R,74,170,0.0,0,"(73, 74]","(165, 170]","[0.0, 0.02)"
637,Bob Johnson,R,70,175,0.272,44,"(69, 70]","(170, 175]","[0.26, 0.28)"
638,Don Buford,B,67,160,0.264,93,"(66, 67]","(155, 160]","[0.26, 0.28)"
639,Duane Kuiper,L,72,175,0.271,1,"(71, 72]","(170, 175]","[0.26, 0.28)"
640,Brant Alyea,R,75,215,0.247,38,"(74, 75]","(210, 215]","[0.24, 0.26)"
641,Jerry Narron,L,75,205,0.21100000000000002,21,"(74, 75]","(200, 205]","[0.2, 0.22)"
642,Lou Johnson,R,71,170,0.258,48,"(70, 71]","(165, 170]","[0.24, 0.26)"
643,Ken Retzer,L,72,185,0.264,14,"(71, 72]","(180, 185]","[0.26, 0.28)"
644,Mike Brown,R,74,195,0.265,23,"(73, 74]","(190, 195]","[0.26, 0.28)"
645,Mike Brown,R,74,195,0.0,0,"(73, 74]","(190, 195]","[0.0, 0.02)"
646,Greg Walker,L,75,205,0.26,113,"(74, 75]","(200, 205]","[0.26, 0.28)"
647,Terry Harper,R,76,195,0.253,36,"(75, 76]","(190, 195]","[0.24, 0.26)"
648,Jerry Royster,R,72,165,0.249,40,"(71, 72]","(160, 165]","[0.24, 0.26)"
