,name,handedness,height,weight,avg,HR,height_group,weight_group,avg_group
782,Tommie Agee,R,71,195,0.255,130,"(70, 71]","(190, 195]","[0.24, 0.26)"
783,Bob Bailey,R,73,180,0.257,189,"(72, 73]","(175, 180]","[0.24, 0.26)"
784,Cap Peterson,R,74,195,0.23,19,"(73, 74]","(190, 195]","[0.22, 0.24)"
785,Ted Uhlaender,L,74,190,0.263,36,"(73, 74]","(185, 190]","[0.26, 0.28)"
786,Ted Simmons,B,71,193,0.285,248,"(70, 71]","(190, 195]","[0.28, 0.3)"
787,Bobby Murcer,L,71,160,0.27699999999999997,252,"(70, 71]","(155, 160]","[0.26, 0.28)"
788,Dick Tracewski,R,71,160,0.213,8,"(70, 71]","(155, 160]","[0.2, 0.22)"
789,Dave Frost,R,78,235,0.0,0,"(77, 78]","(230, 235]","[0.0, 0.02)"
790,Mark Souza,L,72,180,0.0,0,"(71, 72]","(175, 180]","[0.0, 0.02)"
791,Bill Nahorodny,R,74,200,0.24100000000000002,25,"(73, 74]","(195, 200]","[0.24, 0.26)"
792,Bill Madlock,R,71,180,0.305,163,"(70, 71]","(175, 180]","[0.3, 0.32)"
793,Bob Boone,R,74,195,0.254,105,"(73, 74]","(190, 195]","[0.24, 0.26)"
794,Rick Jones,L,77,190,0.0,0,"(76, 77]","(185, 190]","[0.0, 0.02)"
795,Steve Kemp,L,72,195,0.278,130,"(71, 72]","(190, 195]","[0.26, 0.28)"
796,Rick Burleson,R,70,165,0.273,50,"(69, 70]","(160, 165]","[0.26, 0.28)"
797,Jim Dorsey,R,79,190,0.0,0,"(78, 79]","(185, 190]","[0.0, 0.02)"
798,Mark Ciardi,R,72,180,0.0,0,"(71, 72]","(175, 180]","[0.0, 0.02)"
799,Dennis Burtt,R,72,180,0.0,0,"(71, 72]","(175, 180]","[0.0, 0.02)"
800,Carl Taylor,R,74,200,0.266,10,"(73, 74]","(195, 200]","[0.26, 0.28)"
801,Terry Harmon,R,74,180,0.233,4,"(73, 74]","(175, 180]","[0.22, 0.24)"
802,Mike Hargrove,L,72,195,0.29,80,"(71, 72]","(190, 195]","[0.28, 0.3)"
803,Rich Yett,R,74,187,0.0,0,"(73, 74]","(185, 190]","[0.0, 0.02)"
804,Steve Hovley,L,70,188,0.258,8,"(69, 70]","(185, 190]","[0.24, 0.26)"
805,Don Leppert,R,74,220,0.22899999999999998,15,"(73, 74]","(215, 220]","[0.22, 0.24)"
806,Matt Williams,R,73,200,0.0,0,"(72, 73]","(195, 200]","[0.0, 0.02)"
807,Jim Burton,R,75,195,0.0,0,"(74, 75]","(190, 195]","[0.0, 0.02)"
808,Rick Anderson,R,74,210,0.0,0,"(73, 74]","(205, 210]","[0.0, 0.02)"
809,Charlie Mitchell,R,75,170,0.0,0,"(74, 75]","(165, 170]","[0.0, 0.02)"
810,Bill Paschall,R,72,175,0.0,0,"(71, 72]","(170, 175]","[0.0, 0.02)"
811,John Bohnet,B,72,175,0.0,0,"(71, 72]","(170, 175]","[0.0, 0.02)"
812,Byron McLaughlin,R,73,175,0.0,0,"(72, 73]","(170, 175]","[0.0, 0.02)"
813,Lee May,R,75,195,0.267,354,"(74, 75]","(190, 195]","[0.26, 0.28)"
814,Luis Quintana,L,74,175,0.0,0,"(73, 74]","(170, 175]","[0.0, 0.02)"
815,Sam McDowell,L,77,190,0.154,2,"(76, 77]","(185, 190]","[0.14, 0.16)"
816,Rick Renick,R,72,188,0.221,20,"(71, 72]","(185, 190]","[0.22, 0.24)"
817,Jeff Torborg,R,72,195,0.214,8,"(71, 72]","(190, 195]","[0.2, 0.22)"
818,Dave Campbell,R,73,180,0.213,20,"(72, 73]","(175, 180]","[0.2, 0.22)"
819,Pat Kelly,L,73,185,0.264,76,"(72, 73]","(180, 185]","[0.26, 0.28)"
820,Al Weis,B,72,160,0.21899999999999997,7,"(71, 72]","(155, 160]","[0.2, 0.22)"
821,Jerry Turner,L,69,180,0.257,45,"(68, 69]","(175, 180]","[0.24, 0.26)"
822,Rick Auerbach,R,72,165,0.22,9,"(71, 72]","(160, 165]","[0.22, 0.24)"
823,Keith Macwhorter,R,76,190,0.0,0,"(75, 76]","(185, 190]","[0.0, 0.02)"
824,Don Wilson,R,74,195,0.146,1,"(73, 74]","(190, 195]","[0.14, 0.16)"
825,Jaime Cocanower,R,76,200,0.0,0,"(75, 76]","(195, 200]","[0.0, 0.02)"
826,Jeff Sellers,R,73,175,0.0,0,"(72, 73]","(170, 175]","[0.0, 0.02)"
827,Sandy Valdespino,L,68,170,0.23,7,"(67, 68]","(165, 170]","[0.22, 0.24)"
828,Steve Senteney,R,74,205,0.0,0,"(73, 74]","(200, 205]","[0.0, 0.02)"
829,Howard Bailey,R,72,195,0.0,0,"(71, 72]","(190, 195]","[0.0, 0.02)"
830,Jeff Bettendorf,R,75,180,0.0,0,"(74, 75]","(175, 180]","[0.0, 0.02)"
831,Ken Phelps,L,73,209,0.239,123,"(72, 73]","(205, 210]","[0.22, 0.24)"
832,Cesar Cedeno,R,74,175,0.285,199,"(73, 74]","(170, 175]","[0.28, 0.3)"
833,Bob Davidson,R,72,185,0.0,0,"(71, 72]","(180, 185]","[0.0, 0.02)"
834,Phil Linz,R,73,180,0.235,11,"(72, 73]","(175, 180]","[0.22, 0.24)"
835,Manny Mota,R,70,160,0.304,31,"(69, 70]","(155, 160]","[0.3, 0.32)"
836,Brian Snyder,L,75,185,0.0,0,"(74, 75]","(180, 185]","[0.0, 0.02)"
837,Steve Renko,R,77,230,0.215,6,"(76, 77]","(225, 230]","[0.2, 0.22)"
838,Rick Sofield,L,73,195,0.243,9,"(72, 73]","(190, 195]","[0.24, 0.26)"
839,Carlos Velazquez,R,71,180,0.0,0,"(70, 71]","(175, 180]","[0.0, 0.02)"
840,Roger Miller,R,75,200,0.0,0,"(74, 75]","(195, 200]","[0.0, 0.02)"
841,Doug DeCinces,R,74,190,0.259,237,"(73, 74]","(185, 190]","[0.24, 0.26)"
842,John Castino,R,71,175,0.278,41,"(70, 71]","(170, 175]","[0.26, 0.28)"
843,Dave May,L,70,186,0.251,96,"(69, 70]","(185, 190]","[0.24, 0.26)"
844,Ron Washington,R,71,155,0.261,20,"(70, 71]","(150, 155]","[0.26, 0.28)"
845,Billy Grabarkewitz,R,70,165,0.23600000000000002,28,"(69, 70]","(160, 165]","[0.22, 0.24)"
846,Willie Aikens,L,75,220,0.271,110,"(74, 75]","(215, 220]","[0.26, 0.28)"
847,Earl Williams,R,75,215,0.247,138,"(74, 75]","(210, 215]","[0.24, 0.26)"
848,Willie Mueller,R,76,220,0.0,0,"(75, 76]","(215, 220]","[0.0, 0.02)"
849,John Flinn,R,72,175,0.0,0,"(71, 72]","(170, 175]","[0.0, 0.02)"
850,Don Hahn,R,73,180,0.23600000000000002,7,"(72, 73]","(175, 180]","[0.22, 0.24)"
851,Todd Cruz,R,72,175,0.22,34,"(71, 72]","(170, 175]","[0.22, 0.24)"
852,Tom Egan,R,76,218,0.2,22,"(75, 76]","(215, 220]","[0.2, 0.22)"
853,Bob Heise,R,72,175,0.247,1,"(71, 72]","(170, 175]","[0.24, 0.26)"
854,Tommy Harper,R,69,165,0.257,146,"(68, 69]","(160, 165]","[0.24, 0.26)"
855,Joe Wallis,B,71,180,0.244,16,"(70, 71]","(175, 180]","[0.24, 0.26)"
856,Max Alvis,R,71,185,0.247,111,"(70, 71]","(180, 185]","[0.24, 0.26)"
857,Rico Carty,R,75,200,0.299,204,"(74, 75]","(195, 200]","[0.28, 0.3)"
858,Mike Cubbage,L,72,180,0.258,34,"(71, 72]","(175, 180]","[0.24, 0.26)"
859,Les Straker,R,73,193,0.0,0,"(72, 73]","(190, 195]","[0.0, 0.02)"
860,Merritt Ranew,L,71,170,0.247,8,"(70, 71]","(165, 170]","[0.24, 0.26)"
861,Lyman Bostock,L,73,180,0.311,23,"(72, 73]","(175, 180]","[0.3, 0.32)"
862,Damaso Garcia,R,73,165,0.28300000000000003,36,"(72, 73]","(160, 165]","[0.28, 0.3)"
863,Don Kainer,R,75,205,0.0,0,"(74, 75]","(200, 205]","[0.0, 0.02)"
864,Don Gordon,R,73,175,0.0,0,"(72, 73]","(170, 175]","[0.0, 0.02)"
865,Roy Howell,L,73,190,0.261,80,"(72, 73]","(185, 190]","[0.26, 0.28)"
866,Boog Powell,L,76,230,0.266,339,"(75, 76]","(225, 230]","[0.26, 0.28)"
867,Sandy Wihtol,R,73,195,0.0,0,"(72, 73]","(190, 195]","[0.0, 0.02)"
868,Sonny Siebert,R,75,190,0.17300000000000001,12,"(74, 75]","(185, 190]","[0.16, 0.18)"
869,Jeff Richardson,R,75,185,0.0,0,"(74, 75]","(180, 185]","[0.0, 0.02)"
870,Bobby Darwin,R,74,190,0.251,83,"(73, 74]","(185, 190]","[0.24, 0.26)"
871,Dennis DeBarr,L,74,190,0.0,0,"(73, 74]","(185, 190]","[0.0, 0.02)"
872,Dan Driessen,L,71,187,0.267,153,"(70, 71]","(185, 190]","[0.26, 0.28)"
873,Bruce Miller,R,73,185,0.24600000000000002,1,"(72, 73]","(180, 185]","[0.24, 0.26)"
874,Bob Bailor,R,71,170,0.264,9,"(70, 71]","(165, 170]","[0.26, 0.28)"
875,Tommy Helms,R,70,165,0.26899999999999996,34,"(69, 70]","(160, 165]","[0.26, 0.28)"
876,Tony Armas,R,71,182,0.252,251,"(70, 71]","(180, 185]","[0.24, 0.26)"
877,Willie Horton,R,71,209,0.273,325,"(70, 71]","(205, 210]","[0.26, 0.28)"
878,Lou Piniella,R,72,182,0.29100000000000004,102,"(71, 72]","(180, 185]","[0.28, 0.3)"
879,Butch Hobson,R,73,193,0.248,98,"(72, 73]","(190, 195]","[0.24, 0.26)"
880,John Wathan,R,74,205,0.262,21,"(73, 74]","(200, 205]","[0.26, 0.28)"
881,Hal King,L,73,200,0.214,24,"(72, 73]","(195, 200]","[0.2, 0.22)"
882,Mike Krukow,R,77,205,0.193,5,"(76, 77]","(200, 205]","[0.18, 0.2)"
883,Andres Mora,R,72,180,0.223,27,"(71, 72]","(175, 180]","[0.22, 0.24)"
884,Barry Foote,R,75,205,0.23,57,"(74, 75]","(200, 205]","[0.22, 0.24)"
885,Ed Ott,L,70,190,0.259,33,"(69, 70]","(185, 190]","[0.24, 0.26)"
886,Alan Wiggins,B,74,160,0.259,5,"(73, 74]","(155, 160]","[0.24, 0.26)"
887,Ron Clark,R,70,175,0.18899999999999997,5,"(69, 70]","(170, 175]","[0.18, 0.2)"
888,Jay Pettibone,R,76,182,0.0,0,"(75, 76]","(180, 185]","[0.0, 0.02)"
889,Glen Cook,R,71,180,0.0,0,"(70, 71]","(175, 180]","[0.0, 0.02)"
890,Julio Gotay,R,72,180,0.26,6,"(71, 72]","(175, 180]","[0.26, 0.28)"
891,Gary Alexander,R,74,195,0.23,55,"(73, 74]","(190, 195]","[0.22, 0.24)"
892,Andre Thornton,R,75,200,0.254,253,"(74, 75]","(195, 200]","[0.24, 0.26)"
893,Bob Oliver,R,75,205,0.256,94,"(74, 75]","(200, 205]","[0.24, 0.26)"
894,Bill Castro,R,71,170,0.0,0,"(70, 71]","(165, 170]","[0.0, 0.02)"
895,Ed Hodge,L,74,192,0.0,0,"(73, 74]","(190, 195]","[0.0, 0.02)"
896,Tom Buskey,R,75,200,0.0,0,"(74, 75]","(195, 200]","[0.0, 0.02)"
897,Bruce Taylor,R,72,178,0.0,0,"(71, 72]","(175, 180]","[0.0, 0.02)"
898,Stan Thomas,R,74,185,0.0,0,"(73, 74]","(180, 185]","[0.0, 0.02)"
899,Bob Robertson,R,73,195,0.242,115,"(72, 73]","(190, 195]","[0.24, 0.26)"
900,Larry Monroe,R,76,200,0.0,0,"(75, 76]","(195, 200]","[0.0, 0.02)"
901,Roger Slagle,R,75,190,0.0,0,"(74, 75]","(185, 190]","[0.0, 0.02)"
902,Ollie Brown,R,74,178,0.265,102,"(73, 74]","(175, 180]","[0.26, 0.28)"
903,Jim Campbell,L,71,175,0.0,0,"(70, 71]","(170, 175]","[0.0, 0.02)"
904,Frank Quilici,R,73,170,0.214,5,"(72, 73]","(165, 170]","[0.2, 0.22)"
905,Curt Kaufman,R,74,175,0.0,0,"(73, 74]","(170, 175]","[0.0, 0.02)"
906,Joe Pepitone,L,74,185,0.258,219,"(73, 74]","(180, 185]","[0.24, 0.26)"
907,Steve Barber,L,72,195,0.115,5,"(71, 72]","(190, 195]","[0.1, 0.12)"
908,De Wayne Vaughn,R,71,180,0.0,0,"(70, 71]","(175, 180]","[0.0, 0.02)"
909,Norm Miller,L,70,185,0.23800000000000002,24,"(69, 70]","(180, 185]","[0.22, 0.24)"
910,Bob Galasso,L,73,205,0.0,0,"(72, 73]","(200, 205]","[0.0, 0.02)"
911,Rich Wortham,R,72,185,0.0,0,"(71, 72]","(180, 185]","[0.0, 0.02)"
912,Bob Chance,L,74,196,0.261,24,"(73, 74]","(195, 200]","[0.26, 0.28)"
913,Julio Cruz,B,69,165,0.237,23,"(68, 69]","(160, 165]","[0.22, 0.24)"
914,Bill Sample,R,69,175,0.272,46,"(68, 69]","(170, 175]","[0.26, 0.28)"
915,Juan Nieves,L,75,175,0.0,0,"(74, 75]","(170, 175]","[0.0, 0.02)"
916,Mike Bacsik,R,74,180,0.0,0,"(73, 74]","(175, 180]","[0.0, 0.02)"
917,Craig Kusick,R,75,210,0.235,46,"(74, 75]","(205, 210]","[0.22, 0.24)"
918,Rudy Meoli,L,69,165,0.212,2,"(68, 69]","(160, 165]","[0.2, 0.22)"
919,Ruppert Jones,L,70,170,0.25,147,"(69, 70]","(165, 170]","[0.24, 0.26)"
920,Glenn Hoffman,R,73,175,0.242,23,"(72, 73]","(170, 175]","[0.24, 0.26)"
921,Russ Gibson,R,73,195,0.228,8,"(72, 73]","(190, 195]","[0.22, 0.24)"
922,Phil Huffman,R,74,180,0.0,0,"(73, 74]","(175, 180]","[0.0, 0.02)"
923,Terry Francona,L,73,190,0.27399999999999997,16,"(72, 73]","(185, 190]","[0.26, 0.28)"
924,John Bateman,R,75,210,0.23,81,"(74, 75]","(205, 210]","[0.22, 0.24)"
925,Luis Pujols,R,74,175,0.193,6,"(73, 74]","(170, 175]","[0.18, 0.2)"
926,Joe Gaines,R,73,190,0.24100000000000002,21,"(72, 73]","(185, 190]","[0.24, 0.26)"
927,Doug Rader,R,74,208,0.251,155,"(73, 74]","(205, 210]","[0.24, 0.26)"
928,Mickey Stanley,R,73,185,0.248,117,"(72, 73]","(180, 185]","[0.24, 0.26)"
929,Steve Brown,R,77,200,0.0,0,"(76, 77]","(195, 200]","[0.0, 0.02)"
930,Rick Lysander,R,74,190,0.0,0,"(73, 74]","(185, 190]","[0.0, 0.02)"
931,Phil Bradley,R,72,185,0.28600000000000003,78,"(71, 72]","(180, 185]","[0.28, 0.3)"
932,Winston Llenas,R,70,165,0.23,3,"(69, 70]","(160, 165]","[0.22, 0.24)"
933,Charlie Moore,R,71,180,0.261,36,"(70, 71]","(175, 180]","[0.26, 0.28)"
934,Ralph Garr,L,71,185,0.306,75,"(70, 71]","(180, 185]","[0.3, 0.32)"
935,Tommy John,R,75,180,0.157,5,"(74, 75]","(175, 180]","[0.14, 0.16)"
936,Bruce Benedict,R,73,175,0.242,18,"(72, 73]","(170, 175]","[0.24, 0.26)"
937,John Ellis,R,74,225,0.262,69,"(73, 74]","(220, 225]","[0.26, 0.28)"
938,Wes Parker,B,73,180,0.267,64,"(72, 73]","(175, 180]","[0.26, 0.28)"
939,Mel Stottlemyre,R,72,190,0.0,0,"(71, 72]","(185, 190]","[0.0, 0.02)"
940,David Green,R,75,170,0.268,31,"(74, 75]","(165, 170]","[0.26, 0.28)"
941,Reid Nichols,R,71,165,0.266,22,"(70, 71]","(160, 165]","[0.26, 0.28)"
942,Rick Reichardt,R,75,210,0.261,116,"(74, 75]","(205, 210]","[0.26, 0.28)"
943,Luis Tiant,R,72,180,0.16399999999999998,5,"(71, 72]","(175, 180]","[0.16, 0.18)"
944,Alex Sanchez,R,74,185,0.0,0,"(73, 74]","(180, 185]","[0.0, 0.02)"
945,Broderick Perkins,L,70,180,0.271,8,"(69, 70]","(175, 180]","[0.26, 0.28)"
946,Leon Roberts,R,75,200,0.267,78,"(74, 75]","(195, 200]","[0.26, 0.28)"
947,Ray Burris,R,77,200,0.151,1,"(76, 77]","(195, 200]","[0.14, 0.16)"
948,Len Gabrielson,L,76,210,0.253,37,"(75, 76]","(205, 210]","[0.24, 0.26)"
949,Johnny Edwards,L,76,220,0.242,81,"(75, 76]","(215, 220]","[0.24, 0.26)"
950,Paul Wilmet,R,71,170,0.0,0,"(70, 71]","(165, 170]","[0.0, 0.02)"
951,Tom Grieve,R,74,190,0.249,65,"(73, 74]","(185, 190]","[0.24, 0.26)"
952,Bruce Ellingsen,L,72,180,0.0,0,"(71, 72]","(175, 180]","[0.0, 0.02)"
953,Bob Forsch,R,76,200,0.213,12,"(75, 76]","(195, 200]","[0.2, 0.22)"
954,Gorman Heimueller,L,76,195,0.0,0,"(75, 76]","(190, 195]","[0.0, 0.02)"
955,Danny Cater,R,72,170,0.276,66,"(71, 72]","(165, 170]","[0.26, 0.28)"
956,Bill Schroeder,R,74,200,0.24,61,"(73, 74]","(195, 200]","[0.24, 0.26)"
957,Clay Dalrymple,L,72,190,0.233,55,"(71, 72]","(185, 190]","[0.22, 0.24)"
958,Carlos May,L,71,200,0.27399999999999997,90,"(70, 71]","(195, 200]","[0.26, 0.28)"
959,Reggie Smith,B,72,180,0.287,314,"(71, 72]","(175, 180]","[0.28, 0.3)"
960,Ron Reed,R,78,215,0.158,0,"(77, 78]","(210, 215]","[0.14, 0.16)"
961,Fred Howard,R,75,190,0.0,0,"(74, 75]","(185, 190]","[0.0, 0.02)"
962,Davey Johnson,R,73,170,0.261,136,"(72, 73]","(165, 170]","[0.26, 0.28)"
963,Ellis Valentine,R,76,205,0.278,123,"(75, 76]","(200, 205]","[0.26, 0.28)"
964,Roy White,B,70,160,0.271,160,"(69, 70]","(155, 160]","[0.26, 0.28)"
965,Mike Brumley,L,70,195,0.22899999999999998,5,"(69, 70]","(190, 195]","[0.22, 0.24)"
966,Al Luplow,L,70,175,0.235,33,"(69, 70]","(170, 175]","[0.22, 0.24)"
967,John Hoover,R,74,190,0.0,0,"(73, 74]","(185, 190]","[0.0, 0.02)"
968,Dick Allen,R,71,187,0.292,351,"(70, 71]","(185, 190]","[0.28, 0.3)"
969,Doug Ault,R,75,200,0.23600000000000002,17,"(74, 75]","(195, 200]","[0.22, 0.24)"
970,Mark Wagner,R,72,165,0.243,3,"(71, 72]","(160, 165]","[0.24, 0.26)"
971,Mike Walters,R,77,203,0.0,0,"(76, 77]","(200, 205]","[0.0, 0.02)"
972,Willie Stargell,L,74,188,0.282,475,"(73, 74]","(185, 190]","[0.28, 0.3)"
973,Steve Carlton,L,76,210,0.201,13,"(75, 76]","(205, 210]","[0.2, 0.22)"
974,Jake Wood,R,73,163,0.25,35,"(72, 73]","(160, 165]","[0.24, 0.26)"
975,Del Unser,L,73,180,0.258,87,"(72, 73]","(175, 180]","[0.24, 0.26)"
976,Bob Brower,R,71,185,0.242,17,"(70, 71]","(180, 185]","[0.24, 0.26)"
977,Ray Culp,R,72,200,0.12300000000000001,1,"(71, 72]","(195, 200]","[0.12, 0.14)"
978,Ivan Murrell,R,74,195,0.23600000000000002,33,"(73, 74]","(190, 195]","[0.22, 0.24)"
979,Lee Mazzilli,B,73,180,0.259,93,"(72, 73]","(175, 180]","[0.24, 0.26)"
980,Garth Iorg,R,71,170,0.258,20,"(70, 71]","(165, 170]","[0.24, 0.26)"
981,Alan Ashby,B,74,185,0.245,90,"(73, 74]","(180, 185]","[0.24, 0.26)"
982,Bob Brenly,R,74,210,0.247,91,"(73, 74]","(205, 210]","[0.24, 0.26)"
983,Ron Blomberg,L,73,195,0.293,52,"(72, 73]","(190, 195]","[0.28, 0.3)"
984,Jim Rooker,R,72,195,0.201,7,"(71, 72]","(190, 195]","[0.2, 0.22)"
985,Tim Blackwell,B,71,170,0.228,6,"(70, 71]","(165, 170]","[0.22, 0.24)"
986,Colby Ward,R,74,185,0.0,0,"(73, 74]","(180, 185]","[0.0, 0.02)"
987,Jerry Morales,R,70,155,0.259,95,"(69, 70]","(150, 155]","[0.24, 0.26)"
988,Davey Lopes,R,69,170,0.263,155,"(68, 69]","(165, 170]","[0.26, 0.28)"
989,Catfish Hunter,R,72,190,0.226,6,"(71, 72]","(185, 190]","[0.22, 0.24)"
990,Mario Soto,R,72,174,0.132,1,"(71, 72]","(170, 175]","[0.12, 0.14)"
991,Jimmy Wynn,R,70,160,0.25,291,"(69, 70]","(155, 160]","[0.24, 0.26)"
992,Hank Allen,R,72,190,0.24100000000000002,6,"(71, 72]","(185, 190]","[0.24, 0.26)"
993,Jim Fregosi,R,73,190,0.265,151,"(72, 73]","(185, 190]","[0.26, 0.28)"
994,Pepe Frias,R,70,159,0.24,1,"(69, 70]","(155, 160]","[0.24, 0.26)"
995,Mike Schmidt,R,74,195,0.267,548,"(73, 74]","(190, 195]","[0.26, 0.28)"
996,Willie Montanez,L,72,170,0.275,139,"(71, 72]","(165, 170]","[0.26, 0.28)"
997,Rey Quinones,R,71,160,0.243,29,"(70, 71]","(155, 160]","[0.24, 0.26)"
998,Mike Squires,L,71,185,0.26,6,"(70, 71]","(180, 185]","[0.26, 0.28)"
999,Champ Summers,L,74,205,0.255,54,"(73, 74]","(200, 205]","[0.24, 0.26)"
1000,Chuck Porter,R,75,187,0.0,0,"(74, 75]","(185, 190]","[0.0, 0.02)"
1001,Bert Campaneris,R,70,160,0.259,79,"(69, 70]","(155, 160]","[0.24, 0.26)"
1002,Bobby Valentine,R,70,189,0.26,12,"(69, 70]","(185, 190]","[0.26, 0.28)"
1003,Rob Andrews,R,72,185,0.251,3,"(71, 72]","(180, 185]","[0.24, 0.26)"
1004,Tom Haller,L,76,195,0.257,134,"(75, 76]","(190, 195]","[0.24, 0.26)"
1005,Tom Dozier,R,74,190,0.0,0,"(73, 74]","(185, 190]","[0.0, 0.02)"
1006,Ed Stroud,L,71,180,0.237,14,"(70, 71]","(175, 180]","[0.22, 0.24)"
1007,Ron Swoboda,R,74,195,0.242,73,"(73, 74]","(190, 195]","[0.24, 0.26)"
1008,Harry Spilman,L,73,180,0.237,18,"(72, 73]","(175, 180]","[0.22, 0.24)"
1009,Bob Barton,R,72,175,0.226,9,"(71, 72]","(170, 175]","[0.22, 0.24)"
1010,Daryl Sconiers,L,74,185,0.265,15,"(73, 74]","(180, 185]","[0.26, 0.28)"
1011,Joe Torre,R,74,212,0.297,252,"(73, 74]","(210, 215]","[0.28, 0.3)"
1012,Al Ferrara,R,73,200,0.259,51,"(72, 73]","(195, 200]","[0.24, 0.26)"
1013,Rick Steirer,R,76,200,0.0,0,"(75, 76]","(195, 200]","[0.0, 0.02)"
1014,Sixto Lezcano,R,70,165,0.271,148,"(69, 70]","(160, 165]","[0.26, 0.28)"
1015,Al Lachowicz,R,75,198,0.0,0,"(74, 75]","(195, 200]","[0.0, 0.02)"
1016,Dave Nicholson,R,74,215,0.212,61,"(73, 74]","(210, 215]","[0.2, 0.22)"
1017,Freddie Patek,R,65,148,0.242,41,"(64, 65]","(145, 150]","[0.24, 0.26)"
1018,Ken Hubbs,R,74,175,0.247,14,"(73, 74]","(170, 175]","[0.24, 0.26)"
1019,Pepe Mangual,R,70,157,0.242,16,"(69, 70]","(155, 160]","[0.24, 0.26)"
1020,Leron Lee,L,72,196,0.25,31,"(71, 72]","(195, 200]","[0.24, 0.26)"
1021,Tom McCarthy,R,72,180,0.0,0,"(71, 72]","(175, 180]","[0.0, 0.02)"
1022,Steve Ontiveros,B,72,185,0.27399999999999997,24,"(71, 72]","(180, 185]","[0.26, 0.28)"
1023,Willie Davis,L,74,180,0.27899999999999997,182,"(73, 74]","(175, 180]","[0.26, 0.28)"
1024,Tom Lawless,R,71,170,0.207,2,"(70, 71]","(165, 170]","[0.2, 0.22)"
1025,Jerry Moses,R,75,210,0.251,25,"(74, 75]","(205, 210]","[0.24, 0.26)"
1026,Bobby Bonds,R,73,190,0.268,332,"(72, 73]","(185, 190]","[0.26, 0.28)"
1027,Dave McNally,R,71,185,0.133,9,"(70, 71]","(180, 185]","[0.12, 0.14)"
1028,Darrell Brown,B,72,184,0.27399999999999997,1,"(71, 72]","(180, 185]","[0.26, 0.28)"
1029,Roy Foster,R,72,185,0.253,45,"(71, 72]","(180, 185]","[0.24, 0.26)"
1030,Denis Menke,R,72,185,0.25,101,"(71, 72]","(180, 185]","[0.24, 0.26)"
1031,Hal Breeden,R,74,200,0.243,21,"(73, 74]","(195, 200]","[0.24, 0.26)"
1032,Manny Trillo,R,73,150,0.263,61,"(72, 73]","(145, 150]","[0.26, 0.28)"
1033,Jackie Gutierrez,R,71,175,0.237,4,"(70, 71]","(170, 175]","[0.22, 0.24)"
1034,Jerry Kenney,L,73,170,0.237,7,"(72, 73]","(165, 170]","[0.22, 0.24)"
1035,Fred Kendall,R,73,185,0.23399999999999999,31,"(72, 73]","(180, 185]","[0.22, 0.24)"
1036,Mike Anderson,R,74,200,0.24600000000000002,28,"(73, 74]","(195, 200]","[0.24, 0.26)"
1037,Jim Lewis,R,75,190,0.0,0,"(74, 75]","(185, 190]","[0.0, 0.02)"
1038,Joe Charboneau,R,74,205,0.266,29,"(73, 74]","(200, 205]","[0.26, 0.28)"
1039,Jimmie Schaffer,R,69,170,0.223,11,"(68, 69]","(165, 170]","[0.22, 0.24)"
1040,Junior Kennedy,R,71,175,0.248,4,"(70, 71]","(170, 175]","[0.24, 0.26)"
1041,Wilbur Howard,B,74,170,0.25,6,"(73, 74]","(165, 170]","[0.24, 0.26)"
1042,Rod Gilbreath,R,74,180,0.248,14,"(73, 74]","(175, 180]","[0.24, 0.26)"
1043,Mark Brouhard,R,73,210,0.259,25,"(72, 73]","(205, 210]","[0.24, 0.26)"
1044,Dan Morogiello,L,73,200,0.0,0,"(72, 73]","(195, 200]","[0.0, 0.02)"
1045,Mike Young,B,74,195,0.247,72,"(73, 74]","(190, 195]","[0.24, 0.26)"
1046,Chris Speier,R,73,175,0.24600000000000002,112,"(72, 73]","(170, 175]","[0.24, 0.26)"
1047,Gene Michael,B,74,183,0.22899999999999998,15,"(73, 74]","(180, 185]","[0.22, 0.24)"
1048,Vic Harris,B,71,165,0.217,13,"(70, 71]","(160, 165]","[0.2, 0.22)"
1049,Mike Fischlin,R,73,165,0.22,3,"(72, 73]","(160, 165]","[0.22, 0.24)"
1050,Don Money,R,73,170,0.261,176,"(72, 73]","(165, 170]","[0.26, 0.28)"
1051,Joe Rudi,R,74,200,0.264,179,"(73, 74]","(195, 200]","[0.26, 0.28)"
1052,Jim Rice,R,74,200,0.298,382,"(73, 74]","(195, 200]","[0.28, 0.3)"
1053,Shawn Holman,R,74,185,0.0,0,"(73, 74]","(180, 185]","[0.0, 0.02)"
1054,Alan Wirth,R,76,190,0.0,0,"(75, 76]","(185, 190]","[0.0, 0.02)"
1055,Gil Garrido,R,69,150,0.237,1,"(68, 69]","(145, 150]","[0.22, 0.24)"
1056,Marty Perez,R,71,160,0.24600000000000002,22,"(70, 71]","(155, 160]","[0.24, 0.26)"
1057,Tom Matchick,L,73,173,0.215,4,"(72, 73]","(170, 175]","[0.2, 0.22)"
1058,Jack Perconte,L,70,160,0.27,2,"(69, 70]","(155, 160]","[0.26, 0.28)"
1059,Ed Kirkpatrick,L,71,195,0.23800000000000002,85,"(70, 71]","(190, 195]","[0.22, 0.24)"
1060,Jerry Grote,R,70,185,0.252,39,"(69, 70]","(180, 185]","[0.24, 0.26)"
1061,Ellie Hendricks,L,73,175,0.22,62,"(72, 73]","(170, 175]","[0.22, 0.24)"
